,co2
1980-04-05,340.4
1980-04-12,340.9
1980-04-19,340.7
1980-04-26,341.0
1980-05-03,341.5
1980-05-10,341.3
1980-05-17,341.3
1980-05-24,340.9
1980-05-31,341.7
1980-06-07,341.3
1980-06-14,341.3
1980-06-21,340.8
1980-06-28,340.4
1980-07-05,340.4
1980-07-12,339.7
1980-07-19,338.5
1980-07-26,338.9
1980-08-02,337.9
1980-08-09,337.7
1980-08-16,337.7
1980-08-23,337.7
1980-08-30,337.0
1980-09-06,336.6
1980-09-13,335.7
1980-09-20,335.2
1980-09-27,336.0
1980-10-04,335.8
1980-10-11,335.8
1980-10-18,336.1
1980-10-25,336.4
1980-11-01,336.6
1980-11-08,336.9
1980-11-15,337.1
1980-11-22,337.3
1980-11-29,337.4
1980-12-06,337.7
1980-12-13,338.1
1980-12-20,338.3
1980-12-27,338.7
1981-01-03,338.9
1981-01-10,339.1
1981-01-17,339.3
1981-01-24,339.3
1981-01-31,339.5
1981-02-07,340.5
1981-02-14,340.0
1981-02-21,340.2
1981-02-28,341.1
1981-03-07,340.7
1981-03-14,341.0
1981-03-21,341.8
1981-03-28,342.1
1981-04-04,342.4
1981-04-11,342.4
1981-04-18,342.7
1981-04-25,342.3
1981-05-02,342.9
1981-05-09,343.0
1981-05-16,342.8
1981-05-23,342.7
1981-05-30,342.7
1981-06-06,342.6
1981-06-13,342.5
1981-06-20,341.8
1981-06-27,341.6
1981-07-04,341.0
1981-07-11,340.8
1981-07-18,339.7
1981-07-25,340.2
1981-08-01,339.5
1981-08-08,338.9
1981-08-15,338.4
1981-08-22,337.5
1981-08-29,337.7
1981-09-05,337.2
1981-09-12,337.0
1981-09-19,336.7
1981-09-26,335.9
1981-10-03,336.3
1981-10-10,336.6
1981-10-17,337.1
1981-10-24,337.2
1981-10-31,337.5
1981-11-07,337.8
1981-11-14,338.1
1981-11-21,338.5
1981-11-28,339.3
1981-12-05,339.2
1981-12-12,339.4
1981-12-19,339.6
1981-12-26,340.2
1982-01-02,340.2
1982-01-09,340.3
1982-01-16,340.7
1982-01-23,341.1
1982-01-30,341.2
1982-02-06,341.9
1982-02-13,341.1
1982-02-20,341.1
1982-02-27,342.1
1982-03-06,342.6
1982-03-13,342.6
1982-03-20,342.7
1982-03-27,342.8
1982-04-03,342.9
1982-04-10,343.3
1982-04-17,343.5
1982-04-24,344.2
1982-05-01,343.8
1982-05-08,343.6
1982-05-15,344.2
1982-05-22,344.1
1982-05-29,344.1
1982-06-05,343.4
1982-06-12,343.5
1982-06-19,343.4
1982-06-26,342.9
1982-07-03,342.5
1982-07-10,342.0
1982-07-17,342.0
1982-07-24,341.8
1982-07-31,341.3
1982-08-07,340.5
1982-08-14,340.0
1982-08-21,339.7
1982-08-28,338.3
1982-09-04,338.8
1982-09-11,338.6
1982-09-18,337.8
1982-09-25,336.9
1982-10-02,337.3
1982-10-09,338.0
1982-10-16,337.6
1982-10-23,337.9
1982-10-30,338.7
1982-11-06,338.4
1982-11-13,339.2
1982-11-20,339.7
1982-11-27,339.8
1982-12-04,339.8
1982-12-11,340.4
1982-12-18,340.7
1982-12-25,340.8
1983-01-01,340.9
1983-01-08,341.4
1983-01-15,341.5
1983-01-22,341.2
1983-01-29,341.7
1983-02-05,342.0
1983-02-12,342.7
1983-02-19,342.5
1983-02-26,342.8
1983-03-05,342.3
1983-03-12,342.5
1983-03-19,344.0
1983-03-26,343.8
1983-04-02,344.0
1983-04-09,344.8
1983-04-16,345.0
1983-04-23,345.3
1983-04-30,345.4
1983-05-07,345.4
1983-05-14,345.7
1983-05-21,345.8
1983-05-28,345.7
1983-06-04,345.6
1983-06-11,345.6
1983-06-18,345.0
1983-06-25,344.9
1983-07-02,344.7
1983-07-09,344.5
1983-07-16,343.7
1983-07-23,343.6
1983-07-30,342.6
1983-08-06,343.0
1983-08-13,341.7
1983-08-20,342.1
1983-08-27,341.8
1983-09-03,339.9
1983-09-10,339.9
1983-09-17,339.8
1983-09-24,339.9
1983-10-01,339.8
1983-10-08,339.7
1983-10-15,340.1
1983-10-22,340.2
1983-10-29,340.3
1983-11-05,340.8
1983-11-12,341.0
1983-11-19,341.1
1983-11-26,341.7
1983-12-03,341.8
1983-12-10,342.8
1983-12-17,343.3
1983-12-24,343.6
1983-12-31,343.4
1984-01-07,343.7
1984-01-14,343.4
1984-01-21,343.5
1984-01-28,344.1
1984-02-04,344.3
1984-02-11,344.5
1984-02-18,344.3
1984-02-25,344.6
1984-03-03,344.8
1984-03-10,344.9
1984-03-17,345.4
1984-03-24,345.6
1984-03-31,
1984-04-07,
1984-04-14,
1984-04-21,
1984-04-28,347.4
1984-05-05,347.4
1984-05-12,347.7
1984-05-19,347.3
1984-05-26,347.0
1984-06-02,347.0
1984-06-09,347.0
1984-06-16,346.8
1984-06-23,346.3
1984-06-30,346.2
1984-07-07,345.8
1984-07-14,345.4
1984-07-21,345.2
1984-07-28,344.4
1984-08-04,344.0
1984-08-11,344.1
1984-08-18,343.1
1984-08-25,342.0
1984-09-01,341.6
1984-09-08,340.6
1984-09-15,341.3
1984-09-22,341.3
1984-09-29,340.8
1984-10-06,341.1
1984-10-13,341.3
1984-10-20,341.9
1984-10-27,341.6
1984-11-03,342.0
1984-11-10,342.6
1984-11-17,343.1
1984-11-24,343.7
1984-12-01,343.6
1984-12-08,343.9
1984-12-15,344.2
1984-12-22,344.5
1984-12-29,344.5
1985-01-05,344.7
1985-01-12,345.0
1985-01-19,345.0
1985-01-26,345.0
1985-02-02,345.9
1985-02-09,345.5
1985-02-16,345.8
1985-02-23,346.3
1985-03-02,346.7
1985-03-09,347.1
1985-03-16,347.5
1985-03-23,347.7
1985-03-30,348.2
1985-04-06,348.0
1985-04-13,348.0
1985-04-20,348.5
1985-04-27,348.8
1985-05-04,348.8
1985-05-11,349.3
1985-05-18,349.1
1985-05-25,348.1
1985-06-01,349.0
1985-06-08,348.4
1985-06-15,348.2
1985-06-22,347.9
1985-06-29,347.4
1985-07-06,346.9
1985-07-13,346.8
1985-07-20,346.4
1985-07-27,345.7
1985-08-03,
1985-08-10,344.7
1985-08-17,344.5
1985-08-24,344.3
1985-08-31,343.7
1985-09-07,344.2
1985-09-14,343.3
1985-09-21,342.4
1985-09-28,342.1
1985-10-05,342.4
1985-10-12,342.5
1985-10-19,343.1
1985-10-26,343.2
1985-11-02,343.3
1985-11-09,343.7
1985-11-16,344.2
1985-11-23,344.6
1985-11-30,345.3
1985-12-07,345.3
1985-12-14,345.6
1985-12-21,345.1
1985-12-28,346.3
1986-01-04,346.4
1986-01-11,346.0
1986-01-18,346.2
1986-01-25,346.4
1986-02-01,346.2
1986-02-08,346.8
1986-02-15,347.1
1986-02-22,347.2
1986-03-01,347.0
1986-03-08,346.6
1986-03-15,347.2
1986-03-22,349.1
1986-03-29,348.8
1986-04-05,349.2
1986-04-12,349.4
1986-04-19,349.3
1986-04-26,350.2
1986-05-03,349.9
1986-05-10,350.1
1986-05-17,350.2
1986-05-24,350.1
1986-05-31,350.1
1986-06-07,349.7
1986-06-14,349.5
1986-06-21,349.4
1986-06-28,348.9
1986-07-05,348.6
1986-07-12,347.7
1986-07-19,347.6
1986-07-26,347.4
1986-08-02,346.6
1986-08-09,346.2
1986-08-16,345.5
1986-08-23,345.6
1986-08-30,345.2
1986-09-06,345.0
1986-09-13,345.3
1986-09-20,344.4
1986-09-27,344.5
1986-10-04,343.9
1986-10-11,344.1
1986-10-18,343.9
1986-10-25,344.5
1986-11-01,345.1
1986-11-08,345.3
1986-11-15,345.6
1986-11-22,345.7
1986-11-29,346.4
1986-12-06,346.9
1986-12-13,346.7
1986-12-20,346.9
1986-12-27,347.0
1987-01-03,347.6
1987-01-10,348.3
1987-01-17,348.2
1987-01-24,347.9
1987-01-31,348.0
1987-02-07,347.9
1987-02-14,348.2
1987-02-21,348.5
1987-02-28,349.4
1987-03-07,348.8
1987-03-14,349.2
1987-03-21,349.7
1987-03-28,350.2
1987-04-04,350.8
1987-04-11,350.2
1987-04-18,351.1
1987-04-25,351.3
1987-05-02,351.4
1987-05-09,352.0
1987-05-16,351.7
1987-05-23,351.9
1987-05-30,351.7
1987-06-06,351.6
1987-06-13,351.1
1987-06-20,351.0
1987-06-27,350.9
1987-07-04,349.7
1987-07-11,349.8
1987-07-18,348.8
1987-07-25,349.5
1987-08-01,349.0
1987-08-08,348.1
1987-08-15,348.6
1987-08-22,348.0
1987-08-29,346.7
1987-09-05,347.0
1987-09-12,346.6
1987-09-19,346.2
1987-09-26,345.8
1987-10-03,345.7
1987-10-10,346.3
1987-10-17,346.5
1987-10-24,346.8
1987-10-31,346.9
1987-11-07,347.3
1987-11-14,347.6
1987-11-21,348.1
1987-11-28,348.7
1987-12-05,348.6
1987-12-12,348.8
1987-12-19,349.1
1987-12-26,349.2
1988-01-02,349.7
1988-01-09,350.2
1988-01-16,350.2
1988-01-23,350.7
1988-01-30,351.2
1988-02-06,351.8
1988-02-13,351.3
1988-02-20,351.5
1988-02-27,352.5
1988-03-05,352.8
1988-03-12,351.8
1988-03-19,351.7
1988-03-26,352.2
1988-04-02,353.1
1988-04-09,353.5
1988-04-16,353.1
1988-04-23,354.0
1988-04-30,354.2
1988-05-07,353.7
1988-05-14,354.3
1988-05-21,354.5
1988-05-28,354.2
1988-06-04,354.1
1988-06-11,354.2
1988-06-18,353.6
1988-06-25,353.1
1988-07-02,353.0
1988-07-09,352.5
1988-07-16,352.6
1988-07-23,351.9
1988-07-30,351.1
1988-08-06,350.9
1988-08-13,350.3
1988-08-20,350.4
1988-08-27,349.6
1988-09-03,349.3
1988-09-10,348.7
1988-09-17,348.9
1988-09-24,348.1
1988-10-01,348.8
1988-10-08,348.8
1988-10-15,348.6
1988-10-22,349.4
1988-10-29,349.2
1988-11-05,349.7
1988-11-12,349.8
1988-11-19,350.1
1988-11-26,350.4
1988-12-03,350.5
1988-12-10,351.0
1988-12-17,351.6
1988-12-24,351.3
1988-12-31,352.4
1989-01-07,352.7
1989-01-14,352.9
1989-01-21,352.5
1989-01-28,353.0
1989-02-04,352.8
1989-02-11,352.6
1989-02-18,353.2
1989-02-25,353.4
1989-03-04,353.1
1989-03-11,353.4
1989-03-18,353.5
1989-03-25,354.4
1989-04-01,354.5
1989-04-08,355.0
1989-04-15,355.4
1989-04-22,356.0
1989-04-29,355.9
1989-05-06,355.3
1989-05-13,355.8
1989-05-20,355.6
1989-05-27,355.7
1989-06-03,355.8
1989-06-10,355.0
1989-06-17,354.8
1989-06-24,354.9
1989-07-01,354.5
1989-07-08,354.7
1989-07-15,353.8
1989-07-22,353.1
1989-07-29,353.2
1989-08-05,352.6
1989-08-12,352.2
1989-08-19,351.1
1989-08-26,350.4
1989-09-02,350.7
1989-09-09,350.2
1989-09-16,349.4
1989-09-23,349.3
1989-09-30,349.7
1989-10-07,349.9
1989-10-14,349.7
1989-10-21,350.2
1989-10-28,350.4
1989-11-04,350.6
1989-11-11,351.2
1989-11-18,351.6
1989-11-25,351.4
1989-12-02,352.0
1989-12-09,352.1
1989-12-16,352.4
1989-12-23,352.5
1989-12-30,353.4
1990-01-06,353.4
1990-01-13,353.5
1990-01-20,353.8
1990-01-27,353.9
1990-02-03,354.1
1990-02-10,355.0
1990-02-17,354.8
1990-02-24,354.7
1990-03-03,355.7
1990-03-10,354.9
1990-03-17,355.8
1990-03-24,355.1
1990-03-31,355.9
1990-04-07,356.1
1990-04-14,355.9
1990-04-21,356.6
1990-04-28,356.1
1990-05-05,357.3
1990-05-12,357.0
1990-05-19,356.9
1990-05-26,357.1
1990-06-02,357.0
1990-06-09,356.6
1990-06-16,355.6
1990-06-23,355.5
1990-06-30,355.7
1990-07-07,355.5
1990-07-14,354.0
1990-07-21,354.5
1990-07-28,354.7
1990-08-04,353.5
1990-08-11,353.2
1990-08-18,352.9
1990-08-25,352.0
1990-09-01,350.9
1990-09-08,350.7
1990-09-15,351.3
1990-09-22,350.9
1990-09-29,350.9
1990-10-06,351.1
1990-10-13,351.0
1990-10-20,351.4
1990-10-27,351.4
1990-11-03,352.1
1990-11-10,352.6
1990-11-17,353.0
1990-11-24,353.1
1990-12-01,353.6
1990-12-08,354.0
1990-12-15,353.8
1990-12-22,354.5
1990-12-29,354.8
1991-01-05,354.2
1991-01-12,354.7
1991-01-19,354.8
1991-01-26,355.0
1991-02-02,355.2
1991-02-09,355.2
1991-02-16,356.4
1991-02-23,355.8
1991-03-02,356.4
1991-03-09,357.2
1991-03-16,357.6
1991-03-23,356.9
1991-03-30,357.9
1991-04-06,358.3
1991-04-13,357.8
1991-04-20,359.1
1991-04-27,359.2
1991-05-04,359.1
1991-05-11,358.9
1991-05-18,360.0
1991-05-25,359.0
1991-06-01,358.5
1991-06-08,358.4
1991-06-15,358.2
1991-06-22,358.1
1991-06-29,357.7
1991-07-06,357.2
1991-07-13,356.5
1991-07-20,355.2
1991-07-27,355.3
1991-08-03,354.8
1991-08-10,354.6
1991-08-17,353.7
1991-08-24,353.0
1991-08-31,353.2
1991-09-07,353.0
1991-09-14,352.1
1991-09-21,351.8
1991-09-28,351.6
1991-10-05,351.7
1991-10-12,352.1
1991-10-19,352.5
1991-10-26,352.7
1991-11-02,353.4
1991-11-09,353.7
1991-11-16,353.5
1991-11-23,353.8
1991-11-30,354.3
1991-12-07,354.5
1991-12-14,354.9
1991-12-21,355.2
1991-12-28,355.5
1992-01-04,355.6
1992-01-11,356.0
1992-01-18,356.1
1992-01-25,355.9
1992-02-01,356.0
1992-02-08,356.7
1992-02-15,357.3
1992-02-22,356.9
1992-02-29,356.5
1992-03-07,357.3
1992-03-14,357.8
1992-03-21,358.1
1992-03-28,358.4
1992-04-04,358.5
1992-04-11,358.9
1992-04-18,359.7
1992-04-25,359.2
1992-05-02,359.6
1992-05-09,359.7
1992-05-16,358.6
1992-05-23,359.6
1992-05-30,360.2
1992-06-06,360.0
1992-06-13,359.4
1992-06-20,358.7
1992-06-27,358.4
1992-07-04,358.4
1992-07-11,357.2
1992-07-18,356.3
1992-07-25,356.1
1992-08-01,354.9
1992-08-08,355.3
1992-08-15,355.3
1992-08-22,354.5
1992-08-29,354.3
1992-09-05,353.5
1992-09-12,353.6
1992-09-19,352.3
1992-09-26,352.7
1992-10-03,353.6
1992-10-10,353.3
1992-10-17,353.2
1992-10-24,353.5
1992-10-31,353.5
1992-11-07,353.9
1992-11-14,353.8
1992-11-21,354.5
1992-11-28,354.6
1992-12-05,354.8
1992-12-12,355.3
1992-12-19,355.4
1992-12-26,355.9
1993-01-02,356.2
1993-01-09,356.9
1993-01-16,356.7
1993-01-23,356.6
1993-01-30,357.0
1993-02-06,356.6
1993-02-13,357.2
1993-02-20,357.3
1993-02-27,357.6
1993-03-06,358.3
1993-03-13,358.5
1993-03-20,358.1
1993-03-27,358.8
1993-04-03,359.1
1993-04-10,358.8
1993-04-17,359.4
1993-04-24,360.0
1993-05-01,359.6
1993-05-08,359.7
1993-05-15,360.7
1993-05-22,360.6
1993-05-29,360.3
1993-06-05,359.7
1993-06-12,359.9
1993-06-19,359.3
1993-06-26,359.1
1993-07-03,357.9
1993-07-10,358.0
1993-07-17,358.1
1993-07-24,356.6
1993-07-31,356.5
1993-08-07,355.8
1993-08-14,355.9
1993-08-21,354.9
1993-08-28,354.7
1993-09-04,354.3
1993-09-11,353.2
1993-09-18,353.8
1993-09-25,353.8
1993-10-02,353.8
1993-10-09,353.8
1993-10-16,354.0
1993-10-23,354.4
1993-10-30,354.3
1993-11-06,354.7
1993-11-13,355.1
1993-11-20,355.6
1993-11-27,356.0
1993-12-04,356.2
1993-12-11,356.5
1993-12-18,356.9
1993-12-25,357.5
1994-01-01,358.1
1994-01-08,358.1
1994-01-15,358.4
1994-01-22,358.3
1994-01-29,358.7
1994-02-05,358.4
1994-02-12,358.6
1994-02-19,359.0
1994-02-26,359.6
1994-03-05,358.7
1994-03-12,359.8
1994-03-19,360.4
1994-03-26,360.8
1994-04-02,360.6
1994-04-09,361.0
1994-04-16,361.0
1994-04-23,361.3
1994-04-30,362.2
1994-05-07,361.6
1994-05-14,361.4
1994-05-21,361.7
1994-05-28,361.9
1994-06-04,361.0
1994-06-11,361.0
1994-06-18,360.9
1994-06-25,360.7
1994-07-02,360.2
1994-07-09,359.9
1994-07-16,359.4
1994-07-23,359.0
1994-07-30,358.8
1994-08-06,358.1
1994-08-13,357.5
1994-08-20,357.6
1994-08-27,356.3
1994-09-03,356.4
1994-09-10,356.4
1994-09-17,355.4
1994-09-24,355.5
1994-10-01,355.4
1994-10-08,355.8
1994-10-15,356.0
1994-10-22,356.3
1994-10-29,356.6
1994-11-05,356.9
1994-11-12,357.4
1994-11-19,357.9
1994-11-26,358.1
1994-12-03,358.4
1994-12-10,359.1
1994-12-17,359.2
1994-12-24,359.1
1994-12-31,359.5
1995-01-07,359.6
1995-01-14,360.2
1995-01-21,360.1
1995-01-28,360.0
1995-02-04,360.6
1995-02-11,361.0
1995-02-18,360.8
1995-02-25,361.3
1995-03-04,362.2
1995-03-11,361.2
1995-03-18,360.9
1995-03-25,362.0
1995-04-01,363.8
1995-04-08,363.4
1995-04-15,363.3
1995-04-22,362.8
1995-04-29,363.5
1995-05-06,363.2
1995-05-13,364.1
1995-05-20,364.1
1995-05-27,363.4
1995-06-03,363.9
1995-06-10,363.4
1995-06-17,362.9
1995-06-24,362.8
1995-07-01,362.5
1995-07-08,362.2
1995-07-15,361.9
1995-07-22,361.5
1995-07-29,360.9
1995-08-05,360.4
1995-08-12,359.2
1995-08-19,358.7
1995-08-26,359.2
1995-09-02,357.3
1995-09-09,358.5
1995-09-16,358.5
1995-09-23,358.2
1995-09-30,357.5
1995-10-07,357.6
1995-10-14,357.6
1995-10-21,358.0
1995-10-28,358.2
1995-11-04,359.1
1995-11-11,359.4
1995-11-18,359.6
1995-11-25,359.8
1995-12-02,360.1
1995-12-09,360.4
1995-12-16,360.5
1995-12-23,360.8
1995-12-30,361.7
1996-01-06,361.8
1996-01-13,362.0
1996-01-20,362.1
1996-01-27,362.2
1996-02-03,362.6
1996-02-10,363.1
1996-02-17,363.0
1996-02-24,364.0
1996-03-02,363.8
1996-03-09,363.6
1996-03-16,364.1
1996-03-23,364.5
1996-03-30,364.3
1996-04-06,364.5
1996-04-13,364.8
1996-04-20,364.4
1996-04-27,365.1
1996-05-04,364.9
1996-05-11,365.3
1996-05-18,365.7
1996-05-25,365.4
1996-06-01,364.8
1996-06-08,365.1
1996-06-15,365.2
1996-06-22,365.0
1996-06-29,364.3
1996-07-06,364.1
1996-07-13,363.7
1996-07-20,363.3
1996-07-27,362.8
1996-08-03,361.7
1996-08-10,362.1
1996-08-17,361.2
1996-08-24,360.8
1996-08-31,360.8
1996-09-07,359.8
1996-09-14,359.8
1996-09-21,359.0
1996-09-28,359.0
1996-10-05,359.4
1996-10-12,359.5
1996-10-19,359.8
1996-10-26,359.8
1996-11-02,359.9
1996-11-09,360.5
1996-11-16,360.7
1996-11-23,361.2
1996-11-30,361.4
1996-12-07,361.9
1996-12-14,362.6
1996-12-21,362.4
1996-12-28,362.6
1997-01-04,362.9
1997-01-11,363.0
1997-01-18,363.1
1997-01-25,363.5
1997-02-01,363.2
1997-02-08,364.1
1997-02-15,364.0
1997-02-22,364.2
1997-03-01,364.5
1997-03-08,364.1
1997-03-15,364.1
1997-03-22,364.7
1997-03-29,365.4
1997-04-05,365.8
1997-04-12,366.2
1997-04-19,366.6
1997-04-26,366.7
1997-05-03,366.7
1997-05-10,366.8
1997-05-17,367.0
1997-05-24,366.6
1997-05-31,366.3
1997-06-07,365.7
1997-06-14,365.6
1997-06-21,365.5
1997-06-28,365.1
1997-07-05,365.0
1997-07-12,364.6
1997-07-19,364.1
1997-07-26,363.8
1997-08-02,363.3
1997-08-09,363.3
1997-08-16,362.6
1997-08-23,361.5
1997-08-30,361.6
1997-09-06,360.6
1997-09-13,360.2
1997-09-20,360.0
1997-09-27,359.8
1997-10-04,360.5
1997-10-11,360.4
1997-10-18,361.0
1997-10-25,361.1
1997-11-01,361.7
1997-11-08,362.1
1997-11-15,362.0
1997-11-22,362.6
1997-11-29,363.5
1997-12-06,363.9
1997-12-13,363.9
1997-12-20,364.2
1997-12-27,365.0
1998-01-03,365.2
1998-01-10,365.3
1998-01-17,365.3
1998-01-24,365.3
1998-01-31,365.6
1998-02-07,366.0
1998-02-14,365.5
1998-02-21,366.0
1998-02-28,367.3
1998-03-07,367.0
1998-03-14,366.6
1998-03-21,367.4
1998-03-28,368.5
1998-04-04,368.6
1998-04-11,368.6
1998-04-18,368.0
1998-04-25,368.9
1998-05-02,369.1
1998-05-09,368.8
1998-05-16,368.5
1998-05-23,369.6
1998-05-30,369.7
1998-06-06,369.4
1998-06-13,368.8
1998-06-20,368.5
1998-06-27,368.3
1998-07-04,368.0
1998-07-11,367.5
1998-07-18,367.6
1998-07-25,367.3
1998-08-01,366.8
1998-08-08,366.4
1998-08-15,365.6
1998-08-22,365.6
1998-08-29,364.2
1998-09-05,364.7
1998-09-12,363.9
1998-09-19,363.5
1998-09-26,363.6
1998-10-03,364.0
1998-10-10,364.1
1998-10-17,364.4
1998-10-24,364.4
1998-10-31,364.7
1998-11-07,365.0
1998-11-14,365.4
1998-11-21,365.8
1998-11-28,366.0
1998-12-05,366.4
1998-12-12,366.7
1998-12-19,367.3
1998-12-26,367.3
1999-01-02,367.5
1999-01-09,367.8
1999-01-16,367.8
1999-01-23,368.3
1999-01-30,369.2
1999-02-06,369.1
1999-02-13,368.8
1999-02-20,369.0
1999-02-27,368.5
1999-03-06,368.1
1999-03-13,369.5
1999-03-20,370.2
1999-03-27,370.6
1999-04-03,371.1
1999-04-10,371.5
1999-04-17,371.0
1999-04-24,370.3
1999-05-01,370.8
1999-05-08,371.3
1999-05-15,371.0
1999-05-22,370.8
1999-05-29,370.3
1999-06-05,370.9
1999-06-12,370.3
1999-06-19,369.9
1999-06-26,369.9
1999-07-03,369.4
1999-07-10,370.1
1999-07-17,369.5
1999-07-24,368.6
1999-07-31,367.4
1999-08-07,367.6
1999-08-14,366.7
1999-08-21,366.4
1999-08-28,366.1
1999-09-04,364.1
1999-09-11,364.7
1999-09-18,365.2
1999-09-25,364.7
1999-10-02,364.5
1999-10-09,365.0
1999-10-16,364.9
1999-10-23,365.6
1999-10-30,365.7
1999-11-06,366.2
1999-11-13,366.7
1999-11-20,366.6
1999-11-27,367.1
1999-12-04,367.4
1999-12-11,368.0
1999-12-18,368.0
1999-12-25,368.2
2000-01-01,368.6
2000-01-08,368.5
2000-01-15,369.0
2000-01-22,369.8
2000-01-29,369.2
2000-02-05,369.1
2000-02-12,369.6
2000-02-19,369.3
2000-02-26,369.5
2000-03-04,370.0
2000-03-11,370.0
2000-03-18,370.9
2000-03-25,370.7
2000-04-01,370.9
2000-04-08,371.7
2000-04-15,371.8
2000-04-22,372.0
2000-04-29,371.3
2000-05-06,371.2
2000-05-13,371.7
2000-05-20,371.9
2000-05-27,371.8
2000-06-03,371.9
2000-06-10,371.6
2000-06-17,371.7
2000-06-24,371.3
2000-07-01,370.8
2000-07-08,370.0
2000-07-15,370.2
2000-07-22,369.7
2000-07-29,369.0
2000-08-05,368.7
2000-08-12,368.3
2000-08-19,367.7
2000-08-26,367.1
2000-09-02,367.2
2000-09-09,366.7
2000-09-16,366.2
2000-09-23,366.2
2000-09-30,366.4
2000-10-07,366.3
2000-10-14,366.6
2000-10-21,366.7
2000-10-28,367.3
2000-11-04,367.6
2000-11-11,368.0
2000-11-18,368.6
2000-11-25,368.3
2000-12-02,369.0
2000-12-09,369.6
2000-12-16,369.3
2000-12-23,369.5
2000-12-30,369.8
2001-01-06,369.8
2001-01-13,370.2
2001-01-20,369.9
2001-01-27,370.8
2001-02-03,371.3
2001-02-10,371.1
2001-02-17,371.7
2001-02-24,371.2
2001-03-03,372.2
2001-03-10,372.2
2001-03-17,372.1
2001-03-24,371.8
2001-03-31,372.0
2001-04-07,372.7
2001-04-14,372.7
2001-04-21,373.0
2001-04-28,372.7
2001-05-05,373.7
2001-05-12,373.9
2001-05-19,373.7
2001-05-26,373.9
2001-06-02,373.8
2001-06-09,373.1
2001-06-16,372.8
2001-06-23,372.9
2001-06-30,372.7
2001-07-07,372.1
2001-07-14,371.3
2001-07-21,371.2
2001-07-28,370.6
2001-08-04,369.9
2001-08-11,369.5
2001-08-18,369.3
2001-08-25,369.0
2001-09-01,368.4
2001-09-08,368.2
2001-09-15,368.0
2001-09-22,367.4
2001-09-29,367.4
2001-10-06,367.8
2001-10-13,367.6
2001-10-20,368.1
2001-10-27,368.7
2001-11-03,368.7
2001-11-10,368.8
2001-11-17,369.7
2001-11-24,370.3
2001-12-01,370.3
2001-12-08,370.8
2001-12-15,371.2
2001-12-22,371.3
2001-12-29,371.5
